GO:0048066	pigmentation during development 
GO:0006357	regulation of transcription from RNA polymerase II promoter
GO:0043473	pigmentation
GO:0042438	melanin biosynthetic process
GO:0006582	melanin metabolic process
GO:0051252	regulation of RNA metabolic process
GO:0006355	regulation of transcription, DNA-dependent
GO:0045449	regulation of transcription
GO:0045935	positive regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolic process 
GO:0051173	positive regulation of nitrogen compound metabolic process 
GO:0045893	positive regulation of transcription, DNAdependent
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0051254	positive regulation of RNA metabolic process 
GO:0010604	positive regulation of macromolecule metabolic process
GO:0031328	positive regulation of cellular biosynthetic process 
GO:0046148	pigment biosynthetic process 
GO:0009891	positive regulation of biosynthetic process
GO:0006350	transcription
GO:0045892	negative regulation of transcription, DNAdependent
GO:0051253	negative regulation of RNA metabolic process 
GO:0042440	pigment metabolic process
GO:0045944	positive regulation of transcription from RNA polymerase II promoter
GO:0030318	melanocyte differentiation 
GO:0050931	pigment cell differentiation 
GO:0045941	positive regulation of transcription 
GO:0006928	cell motion
GO:0010628	positive regulation of gene expression
GO:0008544	epidermis development 
GO:0000122	negative regulation of transcription from RNA polymerase II promoter 
